ε	A	I	1	a		5
ε	A	I	1	a		000
ἒ ἔ	A	I	1	a	woe! woe	A.Ag.1114
ἒ ἔ	A	I	1	a	woe! woe	A.
ἒ ἔ	A	I	1	a	woe! woe	S.
ἒ ἔ	A	I	1	a	woe! woe	S.OC149
ἒ ἔ	A	I	1	a	woe! woe	A.Th.966
ἔᾱ	A	I	1	a	ha! oho	A.Pr.300
ἔᾱ	A	I	1	a	ha! oho	E.Or.1573
ἔᾱ	A	I	1	a	ha! oho	Id.Hec.501
ἔᾱ	A	I	1	a	ha! oho	733
ἔᾱ	A	I	1	a	ha! oho	Ar.Pl.824
ἔᾱ	A	I	1	a	ha! oho	E.Hec.1116
ἔᾱ	A	I	1	a	ha! oho	Med.1005
ἔᾱ	A	I	1	a	ha! oho	A.Pr.688
ἔᾱ	A	I	1	a	ha! oho	S.OC1477
ἔᾱ	A	I	1	a	ha! oho	Pl.Prt.314d
ἔᾱ	A	I	1	a	ha! oho	Ev.Luc.4.34
ἔᾱ	A	I	1	a		Hsch.
ἔᾱ	A	I	1	a		Hsch.
ἐάν	A	I	1	a	if haply, if	B.11
ἐάν	A	I	1	a	if haply, if	B.1.1
ἐάν	A	II	1	a	soever	LXXGe.15.14
ἐάν	A	II	1	a	soever	PTeb.107.8
ἐάν	A	II	1	a	soever	Ev.Matt.5.19
ἐάν	A	II	1	a	soever	PPetr.3p.120
ἐάν	A	II	1	a	soever	Ev.Matt.18.18
ἐάν	A	II	1	a	soever	Ph.1.220
ἐάν	A	II	1	a	soever	M.Ant.9.23
ἐάν	A	II	1	a	soever	Ev.Matt.8.19
ἐάν	A	II	1	a	soever	Gp.1.3.3
ἐάν	A	II	1	a	soever	LXX1 Ki.2.14
ἐάν	A	II	1	a	soever	S.OC1407
ἐάν	A	II	1	a	soever	Ar.V.228
ἐάν	A	II	1	a	soever	Sopat.6.9
ἑᾰνηφόρος	A	I	1	a	wearing a thin robe	Antim.84
