πᾷ	A	I	1	a	how?	Ar.Ach.785
πᾷ	A	I	1	a	how?	Lys.171
πᾷ	A	I	1	a	how?	GDI2171
πᾷ	A	I	1	a	how?	Archim.
πᾷ	A	I	1	a	how?	Simp.in Ph.1110.5
πᾷ	A	I	1	a	how?	Ar.Lys.155
παγαίη	A	I	1	a		Hsch.
πᾱγᾱν-ικός	A	I	1	a	pagus) civilian	PMasp.2ii 23
πᾱγᾱν-ικός	A	I	2	a	unofficial	BGU936.10
πᾱγᾱν-ικός	A	I	3	a	lay	PFlor.287.1
πᾱγᾱν-ός	A	I	1	a	civilian	BGU1043.25
πᾱγᾱν-ός	A	I	2	a	unofficial, private person,	PLond.5.1711.32
πᾱγᾱν-ός	A	I	3	a		Rev.Arch.30(1929).39
πᾱγάομαι	A	I	1	a	wash in a spring	GDI1588
πᾱγαρχ-έω	A	I	1	a	hold office of	Ath.Mitt.13.238
πᾱγαρχ-έω	A	I	1	a	hold office of	Just.Edict.13.25
πᾱγαρχ-έω	A	I	1	a	hold office of	POxy.133.8
πᾱγάρχ-ης	A	I	1	a	magister pagi	Just.Edict.13.25
πᾱγάρχ-ης	A	I	1	a	magister pagi	PMasp.3.25
πᾱγαρχ-ία	A	I	1	a	district under a	Just.Edict.13.25
πᾱγαρχ-ία	A	I	1	a	district under a	POxy.2110.4
πᾱγαρχ-ικός	A	I	1	a	of a	PMasp.19.4
πᾱ́γαρχ-ος	A	I	1	a		68.10
παγ-γέλοιος	A	I	1	a	thoroughly ridiculous	Pl.Phdr.260c
παγ-γέλοιος	A	I	1	a	thoroughly ridiculous	R.522d
παγ-γέλοιος	A	I	1	a	thoroughly ridiculous	Palaeph.26
παγ-γέλοιος	A	I	1	a	thoroughly ridiculous	Eub.53.6
παγ-γενεί	A	I	1	a	with one's whole race	Xanth.10
παγ-γενεί	A	I	1	a	with one's whole race	IG3.1423
παγ-γενεί	A	I	1	a	with one's whole race	1424
παγ-γενεί	A	I	1	a	with one's whole race	EM647.53
παγ-γενεί	A	I	1	a	with one's whole race	Ael.NA17.27
παγ-γενέτης	A	I	1	a	father of all	Orph.H.20.5
παγ-γενέτης	A	I	1	a	father of all	AP12.97
παγ-γενέτωρ	A	I	1	a		Orph.Fr.236
πάγ-γεος	A	I	1	a	holding the whole earth	Id.H.59.8
πάγ-γεος	A	I	1	a	holding the whole earth	Epigr.Gr.344.10
παγ-γέωργος	A	I	1	a	master-gardener	LXX4 Ma.1.29
παγ-γήρως	A	I	1	a	very old	Lyc.826
παγ-γλῠκερός	A	I	1	a	sweetest of all	Ar.Lys.970
παγ-γλωσσία	A	I	1	a	wordiness, garrulity	Pi.O.2.87
παγ-γόνατον	A	I	1	a		1
παγ-γόνατον	A	I	1	a		Dsc.3.112
πάγ-γυμνος	A	I	1	a	quite naked	Eust.1398.59
παγ-γῠναικί	A	I	1	a	with all their women	D.
παγ-γῠναικί	A	I	1	a	with all their women	41.9
παγελός	A	I	1	a		Hsch.
πᾰγερός	A	I	1	a	frosty, cold	D.Chr.30.11
πᾰγερός	A	II	1	a	power of coagulation	Aret.CA2.2
πᾰγερός	A	II	1	a	power of coagulation	Id.SA2.2
πᾰγετ-ός	A	I	1	a		11
πᾰγετ-ός	A	I	1	a	frost	11
πᾰγετ-ός	A	I	1	a	frost	Pi.Pae.9.17
πᾰγετ-ός	A	I	1	a	frost	Hp.
πᾰγετ-ός	A	I	1	a	frost	7
πᾰγετ-ός	A	I	1	a	frost	X.Cyn.5.1
πᾰγετ-ώδης	A	I	1	a	frosty, ice-cold	S.Ph.1082
πᾰγετ-ώδης	A	I	1	a	frosty, ice-cold	Hp.
πᾰγετ-ώδης	A	I	1	a	frosty, ice-cold	7
πᾰγετ-ώδης	A	I	1	a	frosty, ice-cold	Arist.Mu.392b6
πᾰγετ-ώδης	A	I	1	a	frosty, ice-cold	Agathin.
πᾰγετ-ώδης	A	I	1	a	frosty, ice-cold	Orib.10.7.22
πᾰγεύς	A	I	1	a	pedestal	HeroDioptr.3
πάγη	A	I	1	a	anything that fixes	Hdt.2.121
πάγη	A	I	1	a	anything that fixes	Pl.
πάγη	A	I	1	a	anything that fixes	824a
πάγη	A	I	1	a	anything that fixes	X.Cyr.1.6.39
πάγη	A	I	2	a	trap, snare	A.Ag.822
πάγη	A	I	2	a	trap, snare	S.Fr.435
πᾰγῐδάμεια	A	I	1	a	burster of toils	PMag.Lond.121.694
πᾰγίδ-ευμα	A	I	1	a	snare, enticement	Aq.Ec.7.27(26)
πᾰγιδ-εύω	A	I	1	a	lay a snare for, entrap	LXX1 Ki.28.9
πᾰγιδ-εύω	A	I	1	a	lay a snare for, entrap	Ev.Matt.22.15
πᾰγίδ-ιον	A	I	1	a	snare, gin	284.26
πάγῐ-ος	A	I	1	a	solid	Luc.Alex.21
πάγῐ-ος	A	I	1	a	solid	Arist.Cael.298b30
πάγῐ-ος	A	II	1	a	firm, steadfast	D.
πάγῐ-ος	A	II	1	a	firm, steadfast	65.1
πάγῐ-ος	A	II	1	a	firm, steadfast	Pl.Epin.984d
πάγῐ-ος	A	II	1	a	firm, steadfast	Plot.
πάγῐ-ος	A	II	1	a	firm, steadfast	Lib.Or.64.47
πάγῐ-ος	A	II	1	a	firm, steadfast	D.
πάγῐ-ος	A	II	1	a	firm, steadfast	76.12
πάγῐ-ος	A	II	1	a	firm, steadfast	Pl.R.434d
πάγῐ-ος	A	II	1	a	firm, steadfast	479c
πάγῐ-ος	A	II	1	a	firm, steadfast	Tht.157a
πάγῐ-ος	A	II	1	a	firm, steadfast	Id.Ti.49d
πάγῐ-ος	A	II	1	a	firm, steadfast	Arist.Rh.1389b19
πάγῐ-ος	A	II	1	a	firm, steadfast	Dam.Pr.266
παγῐ-ότης	A	I	1	a	certainty	Hsch.
παγῐ-όω	A	I	1	a	make firm	Eliasin Porph.118.31
παγῐ-όω	A	I	1	a	make firm	EM646.45
παγῐ-όω	A	I	1	a	make firm	p.23
παγῐ-όω	A	I	1	a	make firm	D.
πᾰγίς	A	I	1	a	trap	Batr.117
πᾰγίς	A	I	1	a	trap	Call.Fr.458
πᾰγίς	A	I	1	a	trap	AP6.109
πᾰγίς	A	I	1	a	trap	Ar.Av.527
πᾰγίς	A	I	1	a	trap	194
πᾰγίς	A	I	2	a	trap, snare	Amphis23
πᾰγίς	A	I	2	a	trap, snare	Men.689
πᾰγίς	A	I	2	a	trap, snare	AP9.152
πᾰγίς	A	I	2	a	trap, snare	Agath.
πᾰγίς	A	I	2	a	trap, snare	Alex.66
πᾰγίς	A	I	2	a	trap, snare	Ar.Fr.666
πᾰγίς	A	II	1	a	which holds	AP6.5
πᾰγίς	A	II	1	a	which holds	Phil.
παγίωσις	A	I	1	a	making fast	Olymp.in Phd.p.66
παγ-καίνιστος	A	I	1	a	ever renewed, ever fresh	A.Ag.960
πάγ-κᾰκος	A	I	1	a	utterly bad	Hes.Op.813
πάγ-κᾰκος	A	I	1	a	utterly bad	Pl.Prt.334b
πάγ-κᾰκος	A	I	1	a	utterly bad	A.Th.552
πάγ-κᾰκος	A	I	1	a	utterly bad	Id.Ch.740
πάγ-κᾰκος	A	I	1	a	utterly bad	Id.Pers.282
πάγ-κᾰκος	A	I	1	a	utterly bad	E.Med.1135
πάγ-κᾰκος	A	I	1	a	utterly bad	Python1.6
πάγ-κᾰκος	A	I	2	a	utterly evil	Thgn.149
πάγ-κᾰκος	A	I	2	a	utterly evil	Pl.Lg.928e
πάγ-κᾰκος	A	I	2	a	utterly evil	Arist.EN1099b5
πάγ-κᾰκος	A	I	2	a	utterly evil	S.Ant.742
πάγ-κᾰκος	A	I	2	a	utterly evil	Med.465
παγ-κάκουργος	A	I	1	a	utterly wicked	Hsch.
παγ-κάλλιστος	A	I	1	a	most beautiful	IG12(7).53.15
πάγ-κᾰλος	A	I	1	a	all	Ar.Pl.1018
πάγ-κᾰλος	A	I	1	a	all	Pl.Smp.204c
πάγ-κᾰλος	A	I	1	a	all	Phdr.276e
πάγ-κᾰλος	A	I	1	a	all	Lg.722c
πάγ-κᾰλος	A	I	1	a	all	Min.319c
πάγ-κᾰλος	A	I	1	a	all	9
πάγ-κᾰλος	A	I	1	a	all	Hp.Art.70
πάγ-κᾰλος	A	I	1	a	all	E.Fr.285.7
πάγ-κᾰλος	A	I	1	a	all	Pl.Phdr.230c
πάγ-κᾰλος	A	I	1	a	all	Id.Ap.31d
πάγ-κᾰλος	A	I	1	a	all	Euthd.303b
πάγ-κᾰλος	A	I	1	a	all	Cra.396a
πάγ-κᾰλος	A	I	1	a	all	Euthphr.7a
παγ-κάρπεια	A	I	1	a	offering of all kinds of fruits	S.Fr.398
παγ-κάρπεια	A	I	1	a	offering of all kinds of fruits	E.Fr.912.4
παγ-καρπία	A	I	1	a		IG22.1367
παγ-καρπία	A	II	1	a	sweet cake	Ath.14.648b
πάγ-καρπος	A	I	1	a	of all kinds of fruit	S.El.635
πάγ-καρπος	A	I	1	a	of all kinds of fruit	Pi.P.9.58
πάγ-καρπος	A	I	1	a	of all kinds of fruit	I.4(3).41
πάγ-καρπος	A	I	1	a	of all kinds of fruit	Pl.Ax.371c
πάγ-καρπος	A	I	1	a	of all kinds of fruit	AP4.1.1
πάγ-καρπος	A	I	1	a	of all kinds of fruit	Mel.
πάγ-καρπος	A	I	1	a	of all kinds of fruit	Gell.Praef.8
πάγ-καρπος	A	I	2	a	covered with fruit, berried	S.OT83
πάγ-καρπος	A	II	1	a		Dsc.3.9
παγ-κατάμικτος	A	I	1	a	mixed of all sorts, hashed up together	Philox.3.13
παγ-καταπύγων	A	I	1	a	utterly lewd	Ar.Lys.137
παγ-κατάρᾱτος	A	I	1	a	all-accursed	588
παγ-κευθής	A	I	1	a	all-concealing	S.OC1563
πάγ-κλαυστος	A	I	1	a	most lamentable	A.Th.368
πάγ-κλαυστος	A	I	1	a	most lamentable	Pers.822
πάγ-κλαυστος	A	I	1	a	most lamentable	S.El.1085
πάγ-κλαυστος	A	II	1	a	all-tearful	Id.Tr.652
πάγ-κλαυστος	A	II	1	a	all-tearful	Ant.831
πάγ-κλειτος	A	I	1	a	all-renowned	Castorio2
παγ-κλέπτης	A	I	1	a	thieve-all	Tz.H.13.371
παγ-κληρία	A	I	1	a	entire possession, property, estate, inheritance	A.Ch.486
